Numero autorizzazione,Scadenza,Richiedente,Posizione insegna,Tipo di mezzo pubblico
1014,12/07/2024,BARBER GARZOT,Via Cavour 66,VETROFANIA
1015,21/07/2024,DOMINO S.R.L.,STRADA PROV. NORD,2 CARELLI
1016,01/08/2024,NOVELLARA SERVIZI,VIA TOSCANINI 10,TOTEM INSEGNA
1017,04/08/2024,PUBBLIUNO SRL,Via M. D'AZEGUO 42,CARTELLO PUBBLICITARIO
1018,10/08/2024,UNICREDIT SPA,Unità d'italia Pizza,1 CARTELLO 4 VETROFANIE
1019,26/08/2026,AUSER TERRITORIALE,ROTATORIA VIA VENETO - VIA COSTITUZIONE-VIA TOGLIATTI,4 CARTELLI + 3LOGHI
1020,08/05/2024,ARCHIMEDE S.P.A.,VIALE ROMA 44/A,Vetrofanie e Tela pubblicatala
1021,29/09/2024,TRUCK & CAR SRL,VIA COLOMBO 123,INSEGNA TRUCK E CAR
1022,11/07/2024,ANDRIA S.C.R.L,Str. CARTOCCIO,CARTELLONE PUBBLICITARIO
1023,09/05/2024,CI.L.A. SOOC.COOP,Str. LEVATA 46,TOTEM
1024,06/07/2024,Cl.L.A. Sooc.coop.,Str.levata -G.IMPASTATO,CARTELLO IN ROTONDA
1025,16/02/2025,AVIP ITALIA,VIA C. COLOMBO,CARTELLO BIFACCIALE
1026,09/01/2025,DOMINO Srl,Sp. 42 (massimo d'azeglio,RINNOVO 2 CARTELLI
1027,30/12/2024,STARLITE & CO,CORSO GIUSEPPE GARIBALDI 6 Rossi,INSEGNA LUMINOSA
1028,20/05/2026,SAURO,VIA IMPASTIATO D'AZEGLIO,ADOTTA UNA ROTONDA
1029,26/01/2025,PUBLICITA,VIA PASTERNAK-PROV NORD,CARTELLO PUBBLCITARIO
1030,18/02/2025,PUBLICITA,STRADA PROV NORD,CARTELLO PUBBLICITARIO
1031,18/03/2025,DOMINO S.RL.,PR. NORD,CARTEKKI BIFACCIALE
1032,01/03/2025,DOMINO SRL,Via m. D'AZEGLIO,CARTELLO BIFACCIALE
1033,13/06/2026,AVIS NOVELLARA,ROTATORIA VIA BORGHI/ COLOMBO/STRADA P.LE NORD,ALLESTIMENTO ROTATORIA.
1034,22/02/2028,SALDOMEC,VIA LABRIOLA,2 CARTELLI
1035,15/03/2025,ROBINTUR SPA,STRADA PROV. NORD,1 Cartello
1036,09/04/2025,DOMINO SRL,VIA M. DAZEGLIO,1 CARTELLO BIFACCIALE
1037,11/04/2025,GMP ITALIA,STRADA PROV. NORD,1 CARTELLO
1038,18/10/2026,CANTINE RIUNITE & CIV,ROTATORIA VIA GALVANINA/STR PROV. NORD,ALLESTIMENTO ROTATORIA
1039,19/03/2025,FAGANDINI IVO S.N.C.,VIA LABRIOLA,1 CARTELLO
1040,16/05/2015,IPAS S.P.A,VIA COLOMBO 52/81,2 CARTELLI
1041,27/05/2026,V?M? FASTENERS SPA,ROTATORIA VIA IMPASTATO/ STRADA I 100 PASSI,ALLESTIMENTO ROTATORIA
1042,20/04/2025,SLANZI OLEODINAMICA,STR.. PROV. NORD 221,1 INSEGNA 1 TOTEM
1043,20/04/2025,Archimede S.PA,VIA A. COSTA 7,VETROFANIA
1044,05/05/2025,GMP ITALIA SRL,PROV NORD DOPO ROTATORIA,CARTELLO PUBBLICITARIO
1045,17/05/2025,GMP ITALIA SRL,Prov. Nord,CARTELLO PUBBLICITARIO
1046,17/05/2025,GMP ITALA SRL,STRADA PROV. NORD DOPO VIALE DELLO SPORT,CARTELLO BIFACCIALE
1047,10/06/2025,ANDRIA SCRL,VIA ILARIA ALPI,1 CARTELLO MONOFACCIALE
1048,12/07/2025,ALBATRADE S.R.L.,VIA C. COLOMBO 35,1 CARTELLO PUBBLICITARIO
1049,13/09/2025,UNIPOLSAI ASS. SPA,VIALE ROMA 26,RINNOVO PUBBLICITA
1050,12/08/2025,HAUSBRANDT,STRADA PROV NORD 49,1 CARTELLO BIFACCIALE
1051,17/08/2025,PARTITO DEMOCRATICO,STRADE COMUNALI MAX 30 CARTELLI,VCARTELLI PUBB. PRANZO FERRAGOSTO
1052,29/09/2025,B-PETROL SRL,VIA MASSIMO D'AZEGLIO 34,CARTELLI PUBBLICITARI
1053,18/09/2025,B-PETRO SRL,Str. Prov. nord 67,CARTELLI PUBBLICITARI
1054,16/09/2025,SEN SAS DI BARTOLi,VIA ANDRE MARIE AMPERE 40,INSEGNA PUBBLCITARIA
1055,24/10/2075,MAW. SPA,VIALE ROMA 28,2 VETROFANIE
1056,20/01/2026,BPER BANCA,GALLERIA MAESTRI DEL LAVORO 7,4 INSEGNE 1 PANNELLO 1 VETROFANIA
1057,09/11/2025,PLASTIC GROUP,VIA BANDINI 3,2 INSEGNE
1058,21/11/2025,PASSIONE ARTIGIANALE,PIAZZA CESARE BATTISTI 3,2 TENDE SOTTO AL PORTICO
1059,07/01/2026,AVIP ITALA,PROV. NORD,1 CARTELLO LIDL. ITALIA
1060,07/01/2026,AVIP ITALIA,PROV SUD LOC. SAN GIOVANNI,1 CARTELLO BIFACCIATA AVIP ITALIA
1061,07/01/2026,IPAS SPA,VIA MASSIMO DAZIEGLIO,1 CARTELLO
1062,13/12/2025,CIEFFE SRL,VIA MASSIMO DAZEGLIO,1 CARTELLO DI ESERCIZIO
1063,16/01/2026,CENSI SRL,STRADA PROV. NORD 117,3 CARTELLI
1064,18/01/2026,OLYMPIA SOCIETA SPORTIVA,GALERIA S. PIETRO 19,1 INSEGNA OVALE
1065,15/03/2026,DOMINO,Via COLOMBO,2 INSEGNE
1066,27/01/2026,MELEGARI LUIGI E FIGLI,VIA T. EDISON 8,1 INSEGNA
1067,17/02/2026,REALE MUTUA DI ASSICURAZIONI,VIA V. Veneto 7,VETROFANIE E TARGHETTA
1068,07/03/2026,LIDL ITALIA SRL,VIA M. POLO 2/B,2 CARTELLI
1069,04/04/2026,Si-Società INTERNAZIONALE,TANG. GALVANINA,1 CARTELLO BIFACCIALE
1070,03/05/2026,URBARRODO Srl,Str. prov. NORD,LOGO 4 SEGNALI DON DIVINO
1071,18/04/2026,GRANDI NUMERI SRL,"MIA GONZAGA, S",INSEGNA LUMINOSA ENEL
1072,26/04/2026,DOMINO SRL,VIA C. COLOMBO,CARTELLO BIFACCIALE
1073,31/05/2023,CIRCOLO PD NOVELLARA,X NOVELLARA,CARTELLI PUBBLICITARI
1074,10/05/2026,ZINI SRL,VIA ANNA FRANK 2,1 INSEGNA
1075,21/04/2026,MIRA PUBBLICITA,STRADA PROV. NORD,INSEGNA 2 BIFACCIALI
1076,23/05/2026,GUIDETTI ARREDAMENTI,STRADA SANTA MARIA,CARTELLI
1077,29/04/2026,AAD ARREDATORE A DOMICILIO,STRADA PROV. NORD 8/B,CARTELLO MONOFACCIALE
1078,21/07/2026,AVIP ITALIA,Via C. COLOMBO,CARTELLO
1079,13/06/2026,BUBBLINEON SNC,VIA MASSIMO DAZEGLIO,CARTELLO BIFACCIALE
1080,23/05/2026,ML SERRAMENTI SRL,Via della costitutione 27,CARTELLO SU CANTIERE
1081,05/06/2016,DOMINO SRL,STRADA PROVINCIACE NORD,CARTELLO
1082,17/06/2026,BOSATRA & COMPARINI SNC,VICOLO DEI MILLE / ANGOLO CORSO EATERDI,2 TARGHE
1083,21/06/2026,VILLA Verde,COMUNE DI Novellara,13 PREINSEGNE
1084,03/07/2026,HAUS BRANDT,Via C. COLOMBO Bar,1 INSEGNA
1085,10/06/2026,ADRIATICA PUBBLICITA,Via C. COLOMBO,1 CARTELLO
1086,20/07/2026,SIMONAZZI REMO SRL,VIA E. FERRARI VIA MARCHI,1 INSEGNA 5 PANNELI LUMINOSI
1087,18/04/2023,NUOVA CANTONI E MONARI,VIA GALOSI 4-2,1 INSEGNA
1088,30/07/2026,NUOVA CANTONI E MONARI,VIA GALOSI 4-2,INSEGNE
1089,,PD CIRCOLO NOVELLARA,COMUNE DI NOVELLARA,CARTELLI
1090,23/10/2026,FARMACIA DELLA COSTITUZIONE,VIA DELA COSTITUTIONE 8,INSEGNA TOTEM
1091,12/10/2026,GOTTARDO SA (TIGOTA),STRADA Prov nord 16,2 INSEGNE 5 VETROFANIE
1092,23/10/2026,PUBBLINEON SNC,VIA CRISTOFORO COLOMBO,3 CARTELLI BIFACCIALI
1093,21/11/2026,MONDIALFER SIDERURGICA SrL,VIA NOVA 35,2 CARTELLI
1094,09/11/2026,GRUPPO VALENTE,STRADA Prov. novel 78,1 INSEGNA LUMINOSA
1095,22/07/2025,VEGA CARBURANTI SPA,VIA CRISTOFORO COLOMBO SPA,2 INSEGNE 8 DECALCOMANIE
1096,05/02/2026,PLASTIC GROUP SRL,Via TAZIO NUVOLARI 21,1 CARTELLO
1097,06/12/2026,GRF IMPIANTI SOCIETA' SRLS,VIA MARCHI 17,INSEGNA
1098,21/11/2026,MIRA PUBBLICITÀ,VIA C. COOMBO Prov. vord,2 CARTELLI NON LUMINOSI
1099,14/11/2028,ELECTRIC WORLD SRL,VIA COLOMBO STRADA GALVININA,ROTONDA
1100,17/01/2027,IPAS SPA,STRADA PROVINCIALE NORD,1 CARTELO
1101,11/02/2027,FBN SRL,"VIA COLOMBO,77",INSEGNA
1102,20/02/2027,ITALIANA PETROLI SPA,VIA GALVAGNINA (TANGENZIALE SP30),INSEGNA
1103,07/03/2027,SCAT PV SPA,STRADA PRV. NORD,INSEGNA
1104,21/08/2025,MAMMA MIA DI NASTA LEONARDO E C.,"STRADA PROVINCIALE NORD, 165",INSEGNA
1105,08/04/2027,IPAS SPA,STRADA PROVINCIALE NORD,INSEGNA
1106,10/06/2028,CONSORZIO DI TUTELA IGP,INTERSEZONE NUOVA TANGENZIALI CON STRADA VALLE,INSEGNA
1107,,ANDRIA SCRL,VIA ILARIA ALPI LOTTO 23A 2° STRALCIO,CARTELO N.1
1108,20/09/2026,SALSI CORRADO DI SALSI PAOLO,NOVELLARA,N.6 FRECCE
1109,27/03/2027,BALESTRIERI GENNARO AXA ASSICURAZIONI,VIALE MONTE GRAPPA 16,INSEGNE VARIE
1110,28/03/2027,CERT ELETTRONICA SRL,"VIA ARRIGO NEGRI, 14",INSEGNA TOTEM
1111,09/04/2029,SAG IMMOBILIARE SRL,SEZONET SUDA AD STRADA CENTO PASS E VIA ALESSANDRINI,INSEGNA
1112,ANNULLATA,ASSOCIAZIONE DEL TESTIMONI DI GEOVA DI NOVELLARA,NOVELLARA,INSEGNA
1113,04/07/2027,UNIPOL SAI ASSICURAZIONI SPA,"VIALE ROMA 28,26",INSEGNA
1114,24/04/2027,CONGREGAZIONE CRISTIANA DEI TESTIMONI DI GEOVA,"VIA PAOLO BORSELLINO, 11",INSEGNA
1115,18/05/2027,AVIP ITALIA SRL,STRADA PROVINCIA VE NORD,INSEGNA
1116,15/05/2027,SALSI CORRADO DI SALSI PAOLO,"VIA L. ORSI, 26",Insegna
1117,25/05/2027,PINK 2.0,PIAZZA UNITA D'ITALIA 30,INSEGNA
1118,11/06/2027,BANCA MPS,"CORSO GUSEPPE GARIBALDI, 46-48",INSEGNE
1119,01/08/2027,DOMINO SRL,STRADA PROVINCIALE NORD,INSEGNA
1120,21/06/2027,EURO DEALS DI NARIS YASEEN,"VIA XXV APRILE, 13",INSEGNE
1121,09/05/2027,C.I.L.A. SOC. COOP.,"STRADA LEVATA, 46",INSEGNE
1122,25/06/2027,PROJECT SRL,"STRADA CARTOCIO, 29/A",INSEGNE
1123,24/07/2027,IPAS SPA,"PIAZZALE CIMITERO, 1",INSEGNE
1124,06/07/2027,CILA SOCIETA COOPERATIVA,STRADA LEVATA GIUSEPPE IMPASTATO,INSEGNE
1125,02/08/2027,SAN QUIRINO IMMOBILIARE,PIAZZA UNITA L'ITALIA 29,INSEGNE
1126,31/08/2027,NOVATI SRL,"CORSO GARIBALD1, 30",VETROFANIA
1127,10/08/2027,UNICREDIT SPA,PIAZZA UNITA' d'ITALIA 40,INSEGNE E VETROFANIE
1128,11/07/2027,ANDRIA COOP. S.C.R.L. ABITANTI,STRADA CARTOCCIO - VIA R. ATRIA,CARTELLO
1129,28/09/2027,PD NOVELLARA,DIVERSE VIE DI NOVELLARA,CARTELLI
1130,29/09/2027,TRUCK & CAR,"VIA C. COLOMBO, 123",INSEGNA
1131,14/10/2027,REGNO DEL CAFFÉ,"VIA GONZAGA, 16",INSEGNA
1132,17/06/2027,IPAS SPA,"VIA M.D'AZEG40, 82",CARTELLONE
1133,01/03/2028,SUSAL SRL,VIA BERLINGUER VIA MONTESSORI,CARTELLO
1134,15/03/2028,GATTINONI TRAVEL STORE,"STRADA PROV NORD, 92",INSEGNA
1135,10/04/2028,GMP ITALIA SRL,STRADA PROV. NORD,INSEGNA
1136,01/03/2028,L'ENOTECA IL VECCHLO BORGO,"CORSO G. GARIBALDI, 42",VETROFANIA
1137,18/02/2028,PUBBLICITA,STRADA PROV. NORD,CARTELLO
1138,05/05/2028,GMP ITALIA SRL,STRADA PROV. NORD,CARTELO
1139,17/05/2028,GMP ITALIA SRL,STRADA PROV. NORD,CARTELLO
1140,17/05/2028,GMP ITALIA SRL,STRADA PROV. NORD,CARTELO
1141,26/01/2028,PUBLICITA,STRADA PROV. NORD,CARTELLO
1142,29/04/2028,RAZA MOTORS SRL,"VIA E. MATTEL, 10-12",INSEGNA PUBBLICITARIA
1143,03/07/2028,ML SERRAMENTI SRL,VIA G. PAJETIA,CARTELLO
1144,11/07/2028,PI-VAPE,"PIAZZA G. MAZZANI, 9",VETROFANIE
1145,13/12/2028,PUBLICITTÀ SPA,VIA M. D'ADEGLIO,N.2 CARTELLI
1146,,PUBBLIUNO SRL,VIA M. D'AZEGLIO,
1147,NEGATA,MAW SPA,"VIA L.MAZZERINI, 43",
1148,,DOMINO SRL,VIA M.DIAZEGLIO,
1149,,DOMINO SAL,VIA M.DIAZEGLIO,
1150,14/11/2028,ELECTRIC WORLD SRL,ROTATORIA N. 7 INTERSEZIONE VIA COLOMBO STRADA GALVANINA,ALLESTIMENTO PUBBLICITARIO
1151,22/08/2028,SERVIZI ENERGETICI DI RANGONI FEDERICA,"VIA GONZAGA, 16",INSEGNA
1152,20/04/2028,ARCHIMEDE SPA,"VIA A. COSTA, 5-7",VETROFANIE
1153,SOSPESA,B-PETROL SRL,,
1154,18/09/2028,B-PETROL SRL,"STRADA PROV NORD, 67",INSEGNE E GRAFICHE
1155,29/11/2028,LABIRINTO STP SRL,"VIA C. COLOMBO, 38/B",INSEGNA
1156,09/11/2028,PLASTIC GROUP SRL,"L. BANDINI, 3-5",INSEGNE E CARTELLI
1157,ANNUUATA,IPAS SPA,VIA M.D'AZEGLIO,CARTELLO
1158,03/12/2028,PIZZERIA AL BORGO SNC,"PIAZZETTA BORGONUOVO,",VETROFANIE
1159,26/01/2029,INNOVA 1872 SRL,"VIALE ROMA, 5",INSEGNA E VETROFANIE
1160,03/01/2029,AVIP ITALIA SRL,STRADA PROV. NORD,CARTELLO
1161,16/12/2028,AMAZON ITALIA TRANSPORTS SRL,"VIA C. COLOMBO , 40",ADESIVI
1162,03/01/2029,UNIPOL ASSICURAZIONI SPA,"VIALE ROMA, 28","VETROFA NIE INSEGNA, ECO..."
1163,20/01/2029,BPER BANCA SPA,"GAVERIA MAESTRI DEL LAVORO, 7-8","INSEGNE, VETROFANIA"
1164,27/01/2029,MELEGARI LUIGI E FIGLI,"VIA T.EDISON, 8",INSEGNA
1165,28/01/2029,PLASTICGROUP SRL,"VIA T. NUVOLARI, 21",INSEGNA
1166,ANNUUATA,GALLERIE COMMERCIALI BENNET SPA,STRADA PROV. NORD,INSEGNE MCDONALDS
1167,ANNUUATA,CRISTELLA PETROLI,TANGENZIAVE GAWANINA,
1168,10/05/2029,DOMINO SRL,VIA C. COLOMBO,CARTELLONE
1169,05/06/2029,DOMINO SRL,"STRADA PROV, NORD",CARTELLONE
1170,14/04/2029,GALLERIE COMMERCIALI SPA,"STRADA PROV, NORD",INSEGNE MC DONALD'S
1171,22/07/2028,VEGA CARBURANTI SPA,"VIA C. COLOMBO, 40",INSEGNE
1172,07/03/2029,LIDL ITALIA SPA,VIA M. POLO 2/8,INSEGNE e PORTA POSTER
1173,14/04/2029,LIDL ITALIA SPA,VIA M.POLO 2/B,N.2 NUOVE INSEGNE
1174,RIGETTTATO PER ROTONDA,MIRA PUBBLICITA,STRADA PROV. NORD,
1176,21/07/2029,AVIP ITALIA SRL,VIA C.COLOMBO,CARTELLONE
1177,15/05/2029,NOVATI SRL,VIA DELLA COSTITUZIONE 113,INSEGNE
1178,28/05/2029,MACELLERIA ZANETTI SNC,"VIA C.CAVOUR, 51",INSEGNE
